title	Type	Label	Cost Normal	Cost Hyper	Cost Another	SP DJ Points	DP DJ Points	SPB Unlocked	SPB Rating	SPB Lamp	SPB Letter	SPB EX Score	SPB Miss Count	SPB Note Count	SPB DJ Points	SPN Unlocked	SPN Rating	SPN Lamp	SPN Letter	SPN EX Score	SPN Miss Count	SPN Note Count	SPN DJ Points	SPH Unlocked	SPH Rating	SPH Lamp	SPH Letter	SPH EX Score	SPH Miss Count	SPH Note Count	SPH DJ Points	SPA Unlocked	SPA Rating	SPA Lamp	SPA Letter	SPA EX Score	SPA Miss Count	SPA Note Count	SPA DJ Points	SPL Unlocked	SPL Rating	SPL Lamp	SPL Letter	SPL EX Score	SPL Miss Count	SPL Note Count	SPL DJ Points	DPN Unlocked	DPN Rating	DPN Lamp	DPN Letter	DPN EX Score	DPN Miss Count	DPN Note Count	DPN DJ Points	DPH Unlocked	DPH Rating	DPH Lamp	DPH Letter	DPH EX Score	DPH Miss Count	DPH Note Count	DPH DJ Points	DPA Unlocked	DPA Rating	DPA Lamp	DPA Letter	DPA EX Score	DPA Miss Count	DPA Note Count	DPA DJ Points	DPL Unlocked	DPL Rating	DPL Lamp	DPL Letter	DPL EX Score	DPL Miss Count	DPL Note Count	DPL DJ Points
PARANOIA MAX～DIRTY MIX～	Bits	Bits	4000	6000	8500	0	0									FALSE	5	NP	NP	0	-	280		FALSE	6	NP	NP	0	-	376		FALSE	8	NP	NP	0	-	562										FALSE	3	NP	NP	0	-	280		FALSE	6	NP	NP	0	-	406		FALSE	9	NP	NP	0	-	581										
.59	Base	Base	0	0	0	0	0									TRUE	4	NP	NP	0	-	360		TRUE	6	NP	NP	0	-	514		TRUE	7	NP	NP	0	-	584										TRUE	4	NP	NP	0	-	444		TRUE	6	NP	NP	0	-	514		TRUE	7	NP	NP	0	-	585										
Dancin' Into The Night	Bits	Bits	2000	3000		0	0									FALSE	2	NP	NP	0	-	216		FALSE	3	NP	NP	0	-	235																		FALSE	2	NP	NP	0	-	224		FALSE	3	NP	NP	0	-	237																		
I Was The One	Base	Base	0	0	0	0	0									TRUE	3	NP	NP	0	-	272		TRUE	3	NP	NP	0	-	326		TRUE	4	NP	NP	0	-	348										TRUE	2	NP	NP	0	-	205		TRUE	2	NP	NP	0	-	270																		
Hitch Hiker	Bits	Bits	3500	5000	2500	0	0									FALSE	3	NP	NP	0	-	329		FALSE	4	NP	NP	0	-	414		FALSE	5	NP	NP	0	-	469										FALSE	4	NP	NP	0	-	372		FALSE	6	NP	NP	0	-	469																		
SP-TRIP MACHINE(for beatmania II)	Bits	Bits	3000	4500	2000	0	0									FALSE	3	NP	NP	0	-	254		FALSE	4	NP	NP	0	-	313		FALSE	4	NP	NP	0	-	324										FALSE	3	NP	NP	0	-	254		FALSE	5	NP	NP	0	-	311																		
PUT YOUR FAITH IN ME(for beatmania II)	Base	Base	0	0		0	0									TRUE	3	NP	NP	0	-	291		TRUE	6	NP	NP	0	-	434																		TRUE	4	NP	NP	0	-	288		TRUE	7	NP	NP	0	-	434																		
CAN'T STOP FALLIN'IN LOVE	Bits	Bits	4000	7500		0	0									FALSE	4	NP	NP	0	-	310		FALSE	8	NP	NP	0	-	632																		FALSE	4	NP	NP	0	-	313		FALSE	7	NP	NP	0	-	620																		
Don't Stop!	Bits	Bits	4000	4000	2000	0	0									FALSE	4	NP	NP	0	-	389		FALSE	4	NP	NP	0	-	428		FALSE	4	NP	NP	0	-	453										FALSE	4	NP	NP	0	-	391		FALSE	4	NP	NP	0	-	450																		
era (nostalmix)	Base	Base	0	0	0	0	0									TRUE	5	NP	NP	0	-	437		TRUE	8	NP	NP	0	-	555		TRUE	9	NP	NP	0	-	786										TRUE	5	NP	NP	0	-	437		TRUE	12	NP	NP	0	-	952		TRUE	12	NP	NP	0	-	1226										
Holic	Bits	Bits	6000	8500	11500	24.48	0									FALSE	5	NP	NP	0	-	395		FALSE	7	NP	NP	0	-	624		TRUE	11	FC	AAA	1632	1	880	2.44800000E+001									FALSE	7	NP	NP	0	-	680		FALSE	10	NP	NP	0	-	875		TRUE	12	NP	NP	0	-	1136										
LEADING CYBER	Bits	Bits	4000	6000	6500	0	0									FALSE	4	NP	NP	0	-	434		FALSE	6	NP	NP	0	-	611		FALSE	7	NP	NP	0	-	645										FALSE	4	NP	NP	0	-	478		FALSE	6	NP	NP	0	-	611		FALSE	6	NP	NP	0	-	645										
R5	Base	Base	0	0	0	25.935	0									TRUE	5	NP	NP	0	-	387		TRUE	8	NP	NP	0	-	588		TRUE	11	FC	AAA	1729	0	889	2.59350000E+001									TRUE	5	NP	NP	0	-	430		TRUE	8	NP	NP	0	-	599		TRUE	11	NP	NP	0	-	870										
REINCARNATION	Bits	Bits	4000	5000	7000	0	0									FALSE	4	NP	NP	0	-	424		FALSE	5	NP	NP	0	-	525		FALSE	7	NP	NP	0	-	643										FALSE	4	NP	NP	0	-	398		FALSE	5	NP	NP	0	-	525		FALSE	7	NP	NP	0	-	643										
Schlagwerk	Bits	Bits	4000	8500	9500	0	0									FALSE	4	NP	NP	0	-	414		FALSE	6	NP	NP	0	-	663		FALSE	8	NP	NP	0	-	848										FALSE	4	NP	NP	0	-	412		FALSE	11	NP	NP	0	-	1043		FALSE	11	NP	NP	0	-	1090										
Skyscraper	Bits	Bits	4000	6500	3500	0	0									FALSE	4	NP	NP	0	-	372		FALSE	6	NP	NP	0	-	610		FALSE	7	NP	NP	0	-	629										FALSE	4	NP	NP	0	-	413		FALSE	7	NP	NP	0	-	628																		
Tangerine Stream	Base	Base	0	0		0	0									TRUE	2	NP	NP	0	-	141		TRUE	3	NP	NP	0	-	198																		TRUE	2	NP	NP	0	-	151		TRUE	3	NP	NP	0	-	199																		
THE SAFARI	Bits	Bits	7500	10000		0	0	TRUE	2	NP	NP	0	-	183		FALSE	7	NP	NP	0	-	618		FALSE	10	NP	NP	0	-	900																		FALSE	8	NP	NP	0	-	624		FALSE	10	NP	NP	0	-	900																		
never let you down	Bits	Bits	4000	5500	2500	0	0									FALSE	4	NP	NP	0	-	408		FALSE	5	NP	NP	0	-	575		FALSE	5	NP	NP	0	-	581										FALSE	4	NP	NP	0	-	465		FALSE	6	NP	NP	0	-	577																		
250bpm	Bits	Bits	4500	7500	9500	0	0									FALSE	5	NP	NP	0	-	353		FALSE	8	NP	NP	0	-	528		FALSE	10	NP	NP	0	-	726										FALSE	4	NP	NP	0	-	351		FALSE	7	NP	NP	0	-	523		FALSE	9	NP	NP	0	-	672										
ABSOLUTE	Bits	Bits	6000	8000	10500	39.645	0									FALSE	6	NP	NP	0	-	682		FALSE	8	NP	NP	0	-	935		FALSE	10	NP	NP	0	-	1218		TRUE	11	FC	AAA	2643	1	1412	3.96450000E+001	FALSE	6	NP	NP	0	-	728		FALSE	8	NP	NP	0	-	934		FALSE	11	NP	NP	0	-	1338		TRUE	11	NP	NP	0	-	1488		
Broken My Heart	Bits	Bits	4500	7000	9500	0	0									FALSE	5	NP	NP	0	-	474		FALSE	7	NP	NP	0	-	751		FALSE	9	NP	NP	0	-	914										FALSE	4	NP	NP	0	-	405		FALSE	7	NP	NP	0	-	742		FALSE	10	NP	NP	0	-	914										
CHECKING YOU OUT	Base	Base	0	0	0	18.734	0									TRUE	7	NP	NP	0	-	339		TRUE	9	NP	NP	0	-	481		TRUE	11	EX	AAA	1292	3	700	1.87340000E+001									TRUE	7	NP	NP	0	-	339		TRUE	11	NP	NP	0	-	482		TRUE	11	NP	NP	0	-	703										
Clione	Bits	Bits	3500	4500	9000	31.29	0									FALSE	4	NP	NP	0	-	264		FALSE	5	NP	NP	0	-	479		FALSE	9	NP	NP	0	-	811		TRUE	11	FC	AAA	2086	0	1102	3.12900000E+001	FALSE	3	NP	NP	0	-	264		FALSE	4	NP	NP	0	-	477		FALSE	9	NP	NP	0	-	1010		TRUE	11	NP	NP	0	-	1203		
DXY!	Sub	TRI3	0	0	0	0	0									FALSE	6	NP	NP	0	-	651		FALSE	9	NP	NP	0	-	968		FALSE	10	NP	NP	0	-	1158										FALSE	6	NP	NP	0	-	781		FALSE	12	NP	NP	0	-	1332		FALSE	12	NP	NP	0	-	1529										
empathy	Bits	Bits	4500	9000	4000	0	0									FALSE	5	NP	NP	0	-	416		FALSE	7	NP	NP	0	-	703		FALSE	8	NP	NP	0	-	743										FALSE	4	NP	NP	0	-	411		FALSE	11	NP	NP	0	-	961																		
era (step mix)	Bits	Bits	4500	8000	10500	0	0									FALSE	5	NP	NP	0	-	565		FALSE	8	NP	NP	0	-	733		FALSE	9	NP	NP	0	-	875										FALSE	4	NP	NP	0	-	503		FALSE	8	NP	NP	0	-	728		FALSE	12	NP	NP	0	-	1226										
HIGHER	Bits	Bits	3500	5000	6500	0	0									FALSE	3	NP	NP	0	-	270		FALSE	4	NP	NP	0	-	468		FALSE	6	NP	NP	0	-	641										FALSE	4	NP	NP	0	-	362		FALSE	6	NP	NP	0	-	578		FALSE	7	NP	NP	0	-	611										
KAMIKAZE	Bits	Bits	5000	6500	10000	0	0									FALSE	5	NP	NP	0	-	515		FALSE	6	NP	NP	0	-	745		FALSE	10	NP	NP	0	-	1157										FALSE	5	NP	NP	0	-	512		FALSE	7	NP	NP	0	-	745		FALSE	10	NP	NP	0	-	1156										
LOVE WILL・・・	Base	Base	0	0	0	0	0									TRUE	4	NP	NP	0	-	279		TRUE	4	NP	NP	0	-	379		TRUE	7	NP	NP	0	-	732										TRUE	4	NP	NP	0	-	330		TRUE	6	NP	NP	0	-	529		TRUE	8	NP	NP	0	-	726										
minimalian	Bits	Bits	3000	8500	10500	0	0									FALSE	3	NP	NP	0	-	271		FALSE	8	NP	NP	0	-	555		FALSE	9	NP	NP	0	-	706										FALSE	3	NP	NP	0	-	263		FALSE	9	NP	NP	0	-	626		FALSE	12	NP	NP	0	-	1015										
starmine	Bits	Bits	5000	8000	10500	0	0	TRUE	2	NP	NP	0	-	224		FALSE	5	NP	NP	0	-	456		FALSE	8	NP	NP	0	-	719		FALSE	9	NP	NP	0	-	800										FALSE	5	NP	NP	0	-	566		FALSE	8	NP	NP	0	-	796		FALSE	12	NP	NP	0	-	1098										
Voltage (feat. Hidemaru)	Bits	Bits	5000	9000	4000	0	0									FALSE	5	NP	NP	0	-	480		FALSE	7	NP	NP	0	-	630		FALSE	8	NP	NP	0	-	670										FALSE	5	NP	NP	0	-	480		FALSE	11	NP	NP	0	-	964																		
Hitch Hiker2	Bits	Bits	4500	7500	8000	28.335	0									FALSE	4	NP	NP	0	-	420		FALSE	6	NP	NP	0	-	609		FALSE	7	NP	NP	0	-	665		TRUE	9	FC	AAA	1889	0	976	2.83350000E+001	FALSE	5	NP	NP	0	-	518		FALSE	9	NP	NP	0	-	880		FALSE	9	NP	NP	0	-	864		TRUE	10	NP	NP	0	-	975		
SWEET LAB	Bits	Bits	4500	8000	11000	0	0									FALSE	3	NP	NP	0	-	280		FALSE	6	NP	NP	0	-	496		FALSE	10	NP	NP	0	-	692										FALSE	6	NP	NP	0	-	445		FALSE	10	NP	NP	0	-	674		FALSE	12	NP	NP	0	-	719										
DIAMOND JEALOUSY	Bits	Bits	4500	6000		0	0									FALSE	5	NP	NP	0	-	343		FALSE	6	NP	NP	0	-	546																		FALSE	4	NP	NP	0	-	340		FALSE	6	NP	NP	0	-	542																		
Under Construction	Bits	Bits	5000	7000	8000	0	0									FALSE	5	NP	NP	0	-	417		FALSE	7	NP	NP	0	-	507		FALSE	8	NP	NP	0	-	582										FALSE	5	NP	NP	0	-	417		FALSE	7	NP	NP	0	-	569		FALSE	8	NP	NP	0	-	754										
FLOWERS for ALBION	Base	Base	0	0		0	0									TRUE	2	NP	NP	0	-	122		TRUE	5	NP	NP	0	-	222																		TRUE	5	NP	NP	0	-	190		TRUE	7	NP	NP	0	-	222																		
Jam&Marmalade	Bits	Bits	5000	6500	4000	0	0									FALSE	6	NP	NP	0	-	388		FALSE	7	NP	NP	0	-	456		FALSE	8	NP	NP	0	-	512										FALSE	4	NP	NP	0	-	327		FALSE	6	NP	NP	0	-	451																		
Abyss	Bits	Bits	6000	7500	8500	0	0									FALSE	5	NP	NP	0	-	639		FALSE	7	NP	NP	0	-	817		FALSE	8	NP	NP	0	-	945										FALSE	7	NP	NP	0	-	771		FALSE	8	NP	NP	0	-	889		FALSE	9	NP	NP	0	-	964										
in my eyes	Base	Base	0	0	0	0	0									TRUE	5	NP	NP	0	-	484		TRUE	6	NP	NP	0	-	739		TRUE	7	NP	NP	0	-	798										TRUE	5	NP	NP	0	-	484		TRUE	8	NP	NP	0	-	842		TRUE	10	NP	NP	0	-	1051										
Kiss me all night long	Bits	Bits	5000	6000	7000	0	0									FALSE	5	NP	NP	0	-	471		FALSE	6	NP	NP	0	-	629		FALSE	7	NP	NP	0	-	746										FALSE	5	NP	NP	0	-	480		FALSE	6	NP	NP	0	-	620		FALSE	7	NP	NP	0	-	703										
outer wall	Bits	Bits	5000	6500	9000	0	0									FALSE	5	NP	NP	0	-	474		FALSE	6	NP	NP	0	-	687		FALSE	8	NP	NP	0	-	892										FALSE	5	NP	NP	0	-	474		FALSE	7	NP	NP	0	-	736		FALSE	10	NP	NP	0	-	902										
QQQ	Bits	Bits	7500	10000	5000	0	0									FALSE	5	NP	NP	0	-	621		FALSE	8	NP	NP	0	-	961		FALSE	10	NP	NP	0	-	1091										FALSE	10	NP	NP	0	-	1016		FALSE	12	NP	NP	0	-	1346																		
Radical Faith	Bits	Bits	5500	8500	8500	0	0									FALSE	5	NP	NP	0	-	602		FALSE	6	NP	NP	0	-	768		FALSE	7	NP	NP	0	-	660										FALSE	6	NP	NP	0	-	749		FALSE	11	NP	NP	0	-	1255		FALSE	10	NP	NP	0	-	1101										
Real	Bits	Bits	6000	8500	10000	0	0									FALSE	5	NP	NP	0	-	580		FALSE	8	NP	NP	0	-	866		FALSE	9	NP	NP	0	-	920										FALSE	7	NP	NP	0	-	796		FALSE	9	NP	NP	0	-	949		FALSE	11	NP	NP	0	-	1139										
Regulus	Bits	Bits	6000	9500	10500	0	0									FALSE	6	NP	NP	0	-	551		FALSE	9	NP	NP	0	-	788		FALSE	10	NP	NP	0	-	881										FALSE	6	NP	NP	0	-	545		FALSE	10	NP	NP	0	-	805		FALSE	11	NP	NP	0	-	1065										
RIDE ON THE LIGHT (HI GREAT MIX)	Bits	Bits	4500	6500	8500	27.09	0									FALSE	4	NP	NP	0	-	452		FALSE	5	NP	NP	0	-	548		FALSE	8	NP	NP	0	-	862		TRUE	10	FC	AAA	1806	0	931	2.70900000E+001	FALSE	5	NP	NP	0	-	469		FALSE	8	NP	NP	0	-	616		FALSE	9	NP	NP	0	-	904		TRUE	10	NP	NP	0	-	1010		
RISLIM	Bits	Bits	4000	6500		0	0									FALSE	4	NP	NP	0	-	463		FALSE	7	NP	NP	0	-	625																		FALSE	4	NP	NP	0	-	463		FALSE	6	NP	NP	0	-	625																		
Spin the disc	Bits	Bits	6000	8500	4000	0	0									FALSE	5	NP	NP	0	-	409		FALSE	7	NP	NP	0	-	659		FALSE	8	NP	NP	0	-	674										FALSE	7	NP	NP	0	-	618		FALSE	10	NP	NP	0	-	900																		
STILL IN MY HEART	Bits	Bits	4500	6500	10000	0	0									FALSE	5	NP	NP	0	-	517		FALSE	7	NP	NP	0	-	705		FALSE	9	NP	NP	0	-	971										FALSE	4	NP	NP	0	-	516		FALSE	6	NP	NP	0	-	705		FALSE	11	NP	NP	0	-	1286										
still my words	Bits	Bits	4500	6500		0	0									FALSE	4	NP	NP	0	-	464		FALSE	6	NP	NP	0	-	619																		FALSE	5	NP	NP	0	-	437		FALSE	7	NP	NP	0	-	726																		
sync	Bits	Bits	6500	8500	10500	0	0									FALSE	6	NP	NP	0	-	549		FALSE	8	NP	NP	0	-	982		FALSE	10	NP	NP	0	-	1204										FALSE	7	NP	NP	0	-	796		FALSE	9	NP	NP	0	-	1030		FALSE	11	NP	NP	0	-	1208										
V	Base	Base	0	0	0	40.3245	0	TRUE	2	NP	NP	0	-	173		TRUE	5	NP	NP	0	-	646		TRUE	10	NP	NP	0	-	1272		TRUE	12	EX	AAA	2781	10	1519	4.03245000E+001									TRUE	6	NP	NP	0	-	757		TRUE	10	NP	NP	0	-	1385		TRUE	11	NP	NP	0	-	1504										
sometime	Bits	Bits	4500	7000	8000	0	0									FALSE	4	NP	NP	0	-	393		FALSE	6	NP	NP	0	-	539		FALSE	8	NP	NP	0	-	672										FALSE	5	NP	NP	0	-	393		FALSE	8	NP	NP	0	-	676		FALSE	8	NP	NP	0	-	693										
LOVE AGAIN TONIGHT～for Mellisa mix～	Bits	Bits	4000	5000	3000	0	0									FALSE	4	NP	NP	0	-	385		FALSE	5	NP	NP	0	-	501		FALSE	6	NP	NP	0	-	561										FALSE	4	NP	NP	0	-	466		FALSE	5	NP	NP	0	-	555																		
Time is money	Bits	Bits	3000	3000		0	0									FALSE	3	NP	NP	0	-	308		FALSE	3	NP	NP	0	-	327																		FALSE	3	NP	NP	0	-	317		FALSE	3	NP	NP	0	-	327																		
Estella	Bits	Bits	5000	8000		0	0									FALSE	4	NP	NP	0	-	382		FALSE	6	NP	NP	0	-	559																		FALSE	6	NP	NP	0	-	567		FALSE	10	NP	NP	0	-	799																		
INSERTiON	Bits	Bits	5000	7000	8000	0	0									FALSE	5	NP	NP	0	-	452		FALSE	7	NP	NP	0	-	664		FALSE	8	NP	NP	0	-	835										FALSE	5	NP	NP	0	-	445		FALSE	7	NP	NP	0	-	595		FALSE	8	NP	NP	0	-	850										
THE SHINING POLARIS	Base	Base	0	0	0	23.175	0									TRUE	5	NP	NP	0	-	485		TRUE	7	NP	NP	0	-	667		TRUE	8	FC	AAA	1545	1	799	2.31750000E+001									TRUE	6	NP	NP	0	-	485		TRUE	8	NP	NP	0	-	665																		
BALLAD FOR YOU～想いの雨～	Bits	Bits	4500	6500	3500	0	0									FALSE	4	NP	NP	0	-	297		FALSE	5	NP	NP	0	-	387		FALSE	7	NP	NP	0	-	537										FALSE	5	NP	NP	0	-	375		FALSE	8	NP	NP	0	-	546																		
Blueberry Stream	Bits	Bits	6000	8000	9000	0	0									FALSE	5	NP	NP	0	-	429		FALSE	7	NP	NP	0	-	770		FALSE	8	NP	NP	0	-	846										FALSE	7	NP	NP	0	-	598		FALSE	9	NP	NP	0	-	817		FALSE	10	NP	NP	0	-	868										
Buffalo	Bits	Bits	4500	7500	10000	0	0									FALSE	5	NP	NP	0	-	511		FALSE	7	NP	NP	0	-	744		FALSE	10	NP	NP	0	-	932										FALSE	4	NP	NP	0	-	479		FALSE	8	NP	NP	0	-	744		FALSE	10	NP	NP	0	-	932										
Colors (radio edit)	Bits	Bits	6000	9500	12000	32.7555	0									FALSE	6	NP	NP	0	-	751		FALSE	9	NP	NP	0	-	1011		TRUE	12	EX	AAA	2259	4	1258	3.27555000E+001									FALSE	6	NP	NP	0	-	714		FALSE	10	NP	NP	0	-	1099		TRUE	12	NP	NP	0	-	1255										
fly through the night	Base	Base	0	0	0	24.645	0									TRUE	4	NP	NP	0	-	452		TRUE	7	NP	NP	0	-	688		TRUE	8	FC	AAA	1643	0	863	2.46450000E+001									TRUE	4	NP	NP	0	-	452		TRUE	8	NP	NP	0	-	688		TRUE	10	NP	NP	0	-	981										
Free Style	Bits	Bits	5500	6000	3500	0	0									FALSE	5	NP	NP	0	-	473		FALSE	6	NP	NP	0	-	571		FALSE	7	NP	NP	0	-	664										FALSE	6	NP	NP	0	-	473		FALSE	6	NP	NP	0	-	579																		
Frozen Ray (original mix)	Bits	Bits	5500	9000	9000	0	0									FALSE	6	NP	NP	0	-	669		FALSE	9	NP	NP	0	-	897		FALSE	9	NP	NP	0	-	909										FALSE	5	NP	NP	0	-	428		FALSE	9	NP	NP	0	-	839		FALSE	9	NP	NP	0	-	937										
G2	Bits	Bits	7000	8000	11500	33.21	0									FALSE	8	NP	NP	0	-	752		FALSE	9	NP	NP	0	-	942		TRUE	11	FC	AAA	2214	1	1188	3.32100000E+001									FALSE	6	NP	NP	0	-	665		FALSE	7	NP	NP	0	-	830		TRUE	12	NP	NP	0	-	1377										
L'amour et la liberte	Bits	Bits	5000	8000		0	0									FALSE	5	NP	NP	0	-	521		FALSE	8	NP	NP	0	-	811																		FALSE	5	NP	NP	0	-	521		FALSE	8	NP	NP	0	-	811																		
Linus	Base	Base	0	0	0	31.665	0									TRUE	5	NP	NP	0	-	489		TRUE	9	NP	NP	0	-	789		TRUE	11	FC	AAA	2111	1	1105	3.16650000E+001									TRUE	5	NP	NP	0	-	585		TRUE	9	NP	NP	0	-	1007		TRUE	11	NP	NP	0	-	1210										
NEMESIS	Bits	Bits	6000	9500	11500	26.7	0									FALSE	5	NP	NP	0	-	524		FALSE	9	NP	NP	0	-	839		TRUE	11	FC	AAA	1780	1	973	2.67000000E+001									FALSE	7	NP	NP	0	-	667		FALSE	10	NP	NP	0	-	977		TRUE	12	NP	NP	0	-	1367										
rottel-da-sun	Bits	Bits	5000	8000	5000	0	0									FALSE	5	NP	NP	0	-	417		FALSE	8	NP	NP	0	-	692		FALSE	10	NP	NP	0	-	936										FALSE	5	NP	NP	0	-	418		FALSE	8	NP	NP	0	-	693																		
route 80s	Bits	Bits	6500	9500	10500	0	0									FALSE	6	NP	NP	0	-	457		FALSE	8	NP	NP	0	-	614		FALSE	9	NP	NP	0	-	766										FALSE	7	NP	NP	0	-	562		FALSE	11	NP	NP	0	-	765		FALSE	12	NP	NP	0	-	900										
Silhoette of My Mind	Bits	Bits	4500	6500		0	0									FALSE	4	NP	NP	0	-	304		FALSE	6	NP	NP	0	-	403																		FALSE	5	NP	NP	0	-	339		FALSE	7	NP	NP	0	-	451																		
Summer Vacation(CU mix)	Bits	Bits	7500	10500		0	0									FALSE	6	NP	NP	0	-	667		FALSE	9	NP	NP	0	-	949																		FALSE	9	NP	NP	0	-	984		FALSE	12	NP	NP	0	-	1328																		
Take It Easy	Bits	Bits	6500	10500	5500	0	0									FALSE	7	NP	NP	0	-	760		FALSE	10	NP	NP	0	-	1229		FALSE	11	NP	NP	0	-	1282										FALSE	6	NP	NP	0	-	745		FALSE	11	NP	NP	0	-	1356																		
VJ ARMY	Bits	Bits	5500	7000	9000	0	0									FALSE	6	NP	NP	0	-	663		FALSE	7	NP	NP	0	-	893		FALSE	8	NP	NP	0	-	972										FALSE	5	NP	NP	0	-	658		FALSE	7	NP	NP	0	-	839		FALSE	10	NP	NP	0	-	1138										
こっちを向いてよ	Base	Base	0	0	0	0	0									TRUE	5	NP	NP	0	-	438		TRUE	6	NP	NP	0	-	667		TRUE	7	NP	NP	0	-	703										TRUE	6	NP	NP	0	-	625		TRUE	9	NP	NP	0	-	767		TRUE	11	NP	NP	0	-	1127										
電人イェーガーのテーマ (Theme of DENJIN J)	Bits	Bits	6500	8500		0	0									FALSE	5	NP	NP	0	-	563		FALSE	7	NP	NP	0	-	796																		FALSE	8	NP	NP	0	-	700		FALSE	10	NP	NP	0	-	835																		
19,November	Bits	Bits	5000	6500	9000	0	0									FALSE	5	NP	NP	0	-	560		FALSE	6	NP	NP	0	-	733		FALSE	8	NP	NP	0	-	910										FALSE	5	NP	NP	0	-	589		FALSE	7	NP	NP	0	-	733		FALSE	10	NP	NP	0	-	1045										
SOMETHING WONDERFUL	Bits	Bits	5000	8000	10500	0	0									FALSE	6	NP	NP	0	-	471		FALSE	8	NP	NP	0	-	688		FALSE	10	NP	NP	0	-	1003										FALSE	4	NP	NP	0	-	458		FALSE	8	NP	NP	0	-	690		FALSE	11	NP	NP	0	-	1003										
A	Bits	Bits	7000	10500	12000	36.18	0									FALSE	6	NP	NP	0	-	666		FALSE	10	NP	NP	0	-	1111		TRUE	12	FC	AAA	2412	0	1260	3.61800000E+001									FALSE	8	NP	NP	0	-	613		FALSE	11	NP	NP	0	-	1119		TRUE	12	NP	NP	0	-	1343										
