title,type,radar_notes,radar_peak,radar_scratch,radar_soflan,radar_charge,radar_chord,notes,radar_top
#MAGiCVLGiRL_TRVP_B3VTZ,H,79.24,77.15,25.05,0,0,69.6,991,NOTES
#The_Relentless,A,110.73,109.21,60,0,4.68,103.86,1479,NOTES
#The_Relentless,H,76.96,67.14,36.54,0,2.49,35.59,1028,NOTES
#The_Relentless,L,169.79,173.21,102.44,0,62.14,181.92,2273,CHORD
†渚の小悪魔ラヴリィ~レイディオ†(IIDX EDIT),A,163.43,138.15,96.19,0,0,148.03,1835,NOTES
†渚の小悪魔ラヴリィ~レイディオ†(IIDX EDIT),H,76.54,75.72,79.29,0,0,47.83,858,SCRATCH
∀,A,148.87,151.78,61.99,0,13.59,142.69,1802,PEAK
∀,H,93.86,82.85,31.3,0,3.76,60.91,1136,NOTES
≡+≡,A,123.5,110.52,33.74,0,0,127.64,1520,CHORD
≡+≡,H,86.85,80,24.27,0,0,76.5,1069,NOTES
≡+≡,L,188.8,191.07,97.67,0,149.4,200,2333,CHORD
■□模様,A,106.97,90,45.46,0,30.14,101.05,1337,NOTES
■□模様,H,62.57,57.14,32.05,0,9.06,32.88,782,NOTES
100% minimoo-G,A,74.96,92.85,74.39,0,0,38.62,903,PEAK
100% minimoo-G,H,72.3,72.86,67.14,0,0,20,871,PEAK
10000 MILES AWAY,A,118.07,113.15,100.78,0,158.31,118.9,1494,CHARGE
10000 MILES AWAY,H,66.54,62.85,71.4,0,53.12,45.57,842,SCRATCH
1001 -ESCAPE-,A,102.65,90.01,55.79,0,0,111.49,1327,CHORD
1001 -ESCAPE-,H,66.99,62.85,55.79,0,0,61.68,866,NOTES
1116,A,137.87,148.68,100.96,0,0,137.95,1581,PEAK
"19,November",A,73.75,64.28,48.42,0,0,44.95,910,NOTES
"19,November",H,59.42,55.71,10.62,0,0,20.69,733,NOTES
199024club -Re:BounceKiller-,A,98.21,102.63,176.25,0,0,88.3,1260,SCRATCH
199024club -Re:BounceKiller-,H,68.05,67.14,154.74,0,0,38.03,873,SCRATCH
1st Samurai,A,123.19,106.57,89.56,17.98,0,103.57,1383,NOTES
1st Samurai,H,90.51,80.01,46.09,14.97,0,42.06,1016,NOTES
2 Be Continued,A,150.54,139.47,47.46,0,121.29,135.05,1872,NOTES
2 Be Continued,H,80.74,75.71,33.39,0,22.81,45.24,1004,NOTES
2 Beasts Unchained,A,149.7,139.47,133.52,0,101.1,126.82,1780,NOTES
2 Beasts Unchained,H,96.3,81.43,51.48,0,17.65,64.21,1145,NOTES
2 Player,A,102.58,88.58,22.38,51.22,60.22,101.46,1302,NOTES
2 Player,H,66.18,65.71,19.51,34.11,21.32,35.4,840,NOTES
2 tribe 4 K,A,111.74,106.57,41.23,0,0,118,1402,CHORD
2 tribe 4 K,H,54.51,55.71,24.97,0,0,22.93,684,PEAK
20XX,A,117.13,111.84,41.73,0,0,95.27,1370,NOTES
20XX,H,78.57,72.85,33.01,0,0,39.95,919,NOTES
22DUNK,A,43.71,54.28,23.23,0,0,12.47,329,PEAK
22DUNK,H,42.65,41.43,9.62,0,0,8,323,NOTES
24h Endurance Race,A,135.76,121.05,51.64,0,55.46,107.84,1743,NOTES
24h Endurance Race,H,85.37,71.42,27.23,0,19.53,17.15,1096,NOTES
24th Century BOY,A,115.18,125,24.78,0,0,112.99,1456,PEAK
24th Century BOY,H,78.79,72.85,21.9,0,0,41.22,996,NOTES
250bpm,A,83.3,88.58,89.44,0,0,60.73,726,SCRATCH
250bpm,H,60.58,55.71,61.85,0,0,26.91,528,SCRATCH
255,A,149.21,126.31,107.5,0,0,143.58,1676,NOTES
255,H,73.27,64.28,81.73,0,0,37.75,823,SCRATCH
27th style,A,103.37,98.57,145.15,0,0,99.51,1299,SCRATCH
27th style,H,72.26,68.57,79.42,0,0,41.09,908,SCRATCH
2hot2eat,A,74.93,106.58,26.19,111.82,0,37.51,854,SOFLAN
2hot2eat,H,53.69,58.57,22.37,77.59,0,9.97,612,SOFLAN
3!dolon Forc3,A,124.81,138.15,107.22,105.86,0,118.36,1513,PEAK
3!dolon Forc3,H,66.65,70.01,49.28,63.09,0,33.33,808,PEAK
3V0,A,120.58,114.47,105.64,0,3.75,119.79,1530,NOTES
3V0,H,73.21,75.71,28.13,0,1.4,53.71,929,PEAK
3y3s,A,145.98,185.71,115.28,0,0,156.5,1871,PEAK
3y3s,H,101.9,118.42,47.18,0,0,104.83,1306,PEAK
405nm (Ryu☆mix),A,116.13,113.15,28.61,0,0,92.79,1301,NOTES
405nm (Ryu☆mix),H,80.16,71.42,22.11,0,0,43.11,898,NOTES
5.1.1.,A,85.37,77.15,115.97,0,0,66.95,786,SCRATCH
5.1.1.,H,55.49,54.28,11.07,0,0,15.24,511,NOTES
50th Memorial Songs -二人の時 ~under the cherry blossoms~-,A,104.49,100,29.61,0,0,114.49,1311,CHORD
50th Memorial Songs -二人の時 ~under the cherry blossoms~-,H,66.47,61.41,24.96,0,0,37.67,834,NOTES
50th Memorial Songs -Beginning Story-,A,107.03,94.28,44.13,0,87.57,107.91,1378,CHORD
50th Memorial Songs -Beginning Story-,H,65.71,54.28,28.29,0,38.98,29.65,846,NOTES
50th Memorial Songs -Flagship medley-,A,100.97,97.15,44.51,56.03,0,111.63,1157,CHORD
50th Memorial Songs -Flagship medley-,H,68.59,65.71,37.51,42.84,0,56.07,786,NOTES
50th Memorial Songs -The BEMANI History-,A,111.77,117.1,39.26,0,4.84,110.38,1348,PEAK
50th Memorial Songs -The BEMANI History-,H,70.57,64.29,31.42,0,3.9,34.87,851,NOTES
532nm,A,133.61,122.36,43.29,0,0,107.73,1349,NOTES
532nm,H,63.38,61.42,10.82,0,0,34.09,640,NOTES
7 Colors,A,95.1,75.72,14.99,0,0,69.19,970,NOTES
7 Colors,H,59.51,52.85,9.28,0,0,12.71,607,NOTES
808monkey,A,77.43,82.86,29.62,0,0,63,914,PEAK
808monkey,H,51.35,45.71,24.7,0,0,19.88,606,NOTES
8bit Princess,A,106.34,88.57,32.29,0,0,108.42,1319,CHORD
8bit Princess,H,55.63,47.15,15.85,0,0,24.6,690,NOTES
仮想空間の旅人たち,A,106.47,94.28,14.44,0,0,92.5,1450,NOTES
仮想空間の旅人たち,H,82.31,75.71,14.44,0,0,36.3,1121,NOTES
仮想空間の旅人たち,L,149.92,155.35,15.74,0,0,155.74,1943,CHORD
可愛くてごめん,A,87.63,65.71,25.92,0,0,101.68,1133,CHORD
可愛くてごめん,H,54.37,52.85,23.66,0,0,25.07,703,NOTES
可愛くてごめん,L,108.81,82.85,25.35,0,63.74,115.93,1407,CHORD
開きたまえ!Next stAge!,A,114.92,92.85,99.58,0,0,104.13,1463,NOTES
開きたまえ!Next stAge!,H,67.63,61.42,80.12,0,0,32.54,861,SCRATCH
犬に雨傘,A,82.19,74.28,20.72,0,36.09,83.29,1069,CHORD
犬に雨傘,H,56.9,52.86,16.24,0,19.68,41.09,740,NOTES
鏡像都市,A,85.27,67.14,35.32,0,6.09,91.34,985,CHORD
鏡像都市,H,60.59,52.85,19.55,0,0,49.76,700,NOTES
禊,A,131.6,119.73,57.61,0,156.69,113.21,1631,CHARGE
禊,H,94.31,90,42.92,0,74.84,59.48,1169,NOTES
高高度降下低高度開傘,A,85.57,75.72,49.64,0,0,41.98,1005,NOTES
高高度降下低高度開傘,H,66.16,64.29,31.64,0,0,19.39,777,NOTES
共鳴遊戯の華,A,155.12,144.73,34.49,0,157.99,125.94,2000,CHARGE
共鳴遊戯の華,H,100.58,85.71,24.88,0,15,25.75,1296,NOTES
共犯へヴンズコード,A,97.9,92.85,46.55,0,0,105.79,1149,CHORD
共犯へヴンズコード,H,59.98,55.71,46.55,0,0,40.64,704,NOTES
狂水一華,A,111.23,95.71,65.66,0,15,92.33,1370,NOTES
狂水一華,H,72.1,58.58,37.26,0,0,32.23,888,NOTES
狂イ咲ケ焔ノ華,A,139.12,139.47,46.32,0,0,109.54,1860,PEAK
狂イ咲ケ焔ノ華,H,94.92,82.84,28.88,0,0,59.51,1269,NOTES
果たせぬ約束 ft. 小林マナ,A,116.66,102.63,43.19,0,0,122.45,1515,CHORD
果たせぬ約束 ft. 小林マナ,H,76.07,62.85,38.71,0,0,47.04,988,NOTES
怪物,A,96.18,81.42,22.09,0,0,103.35,1205,CHORD
怪物,H,48.05,37.14,8.14,0,0,19.8,602,NOTES
怪物,L,131.54,118.42,48.85,0,61.25,152.19,1648,CHORD
轟け!恋のビーンボール!!,A,161.27,142.1,84.04,0,0,148.74,1834,NOTES
轟け!恋のビーンボール!!,H,89.12,74.28,50.68,0,0,71.96,1012,NOTES
九尾狐夜行,A,133.71,121.06,51.24,0,0,134.12,1521,CHORD
九尾狐夜行,H,80.18,70.01,11.52,0,0,58.81,912,NOTES
君のハートにロックオン,A,107.23,97.14,37.83,0,0,67.88,1363,NOTES
君のハートにロックオン,H,71.13,67.14,18.91,0,0,12.03,904,NOTES
君のハートにロックオン,L,143.81,142.1,28.65,0,0,122.55,1828,NOTES
口カラ凸ゲキ,A,99.43,82.86,75,0,35.93,59.62,1217,NOTES
口カラ凸ゲキ,H,63.64,60,55.96,0,11.25,22.33,779,NOTES
鬼天,A,108.04,111.84,24.26,0,127.3,84.19,1265,CHARGE
鬼天,H,75.94,98.57,24.26,0,74,43.15,889,PEAK
今宵、ロマンス横丁。,A,140.03,130.26,89.28,0,107.05,128.56,1714,NOTES
金野火織の金色提言,A,132.96,138.15,87.36,0,23.45,123.51,1630,PEAK
金野火織の金色提言,H,95.52,88.57,70.73,0,13.43,83.68,1171,NOTES
大桟橋,A,78.42,90.01,33.53,38.22,0,70.78,937,PEAK
大桟橋,H,48.03,55.71,32.92,11.71,0,10.89,574,PEAK
突撃!ガラスのニーソ姫!,A,93.68,90,50.57,0,33.6,99.67,1066,CHORD
突撃!ガラスのニーソ姫!,H,52.02,50,29.45,0,0,32.58,592,NOTES
東京神話,A,126.95,148.68,81.73,0,0,108.77,1505,PEAK
東京神話,H,77.09,70,59.61,0,0,36.93,914,NOTES
錬成人間トリコロイダー,A,133.18,114.47,72.18,0,0,146.81,1613,CHORD
冬椿 ft. Kanae Asaba,A,91.86,78.57,51.97,0,0,82.88,1146,NOTES
冬椿 ft. Kanae Asaba,H,50.73,45.71,35.62,0,0,16.23,633,NOTES
冬椿 ft. Kanae Asaba,L,123.02,106.57,46.71,0,0,113.71,1535,NOTES
童話回廊,A,140.23,130.26,57.75,0,0,125.1,1592,NOTES
童話回廊,H,79.71,78.57,53.9,0,0,35.26,905,NOTES
量子の海のリントヴルム,A,136.21,110.52,30.27,0,63.39,109.8,1508,NOTES
量子の海のリントヴルム,H,83.02,65.71,17.11,0,12.34,20.09,919,NOTES
麗 ~うらら~,A,106.52,101.31,39.71,0,0,77.75,1329,NOTES
麗 ~うらら~,H,72.37,65.71,31.53,0,0,40.37,903,NOTES
旅人リラン,A,108.48,115.78,23.5,0,0,107.95,1345,PEAK
旅人リラン,H,80.49,80,14.69,0,0,59.94,998,NOTES
煉獄コンフィチュール,A,111.48,101.31,49.82,0,0,103.15,1353,NOTES
煉獄コンフィチュール,H,78.85,68.57,42.02,0,0,47.7,957,NOTES
煉獄のエルフェリア,A,155.62,166.07,53.32,0,0,163.94,2000,PEAK
煉獄のエルフェリア,H,95.16,92.85,34.04,0,0,96.45,1222,CHORD
零 - ZERO -,A,92.87,88.57,48.34,0,0,88.23,1162,NOTES
零 - ZERO -,H,72.89,62.86,46.59,0,0,42.89,912,NOTES
朧,A,86.16,80.01,26.06,0,0,77.23,1060,NOTES
朧,H,61.61,61.42,19.54,0,0,35.44,758,NOTES
朧,L,104.05,98.57,40.86,0,0,110.27,1280,CHORD
龍王の霊廟(Mausoleum Of The Primal Dragon),A,123.7,100,12.84,0,49.12,107.37,1614,NOTES
龍王の霊廟(Mausoleum Of The Primal Dragon),H,91.2,69.99,7.25,0,45.37,35.09,1190,NOTES
龍王の霊廟(Mausoleum Of The Primal Dragon),L,154.95,115.78,13.4,0,162.8,145.87,2023,CHARGE
龍と少女とデコヒーレンス,A,118.73,106.57,24.55,0,0,95.37,1515,NOTES
龍と少女とデコヒーレンス,H,67.63,62.85,15.98,0,0,14.47,863,NOTES
龍と少女とデコヒーレンス,L,134.25,128.94,35.4,0,86.34,117.64,1713,NOTES
輪廻の鴉,A,111.95,102.63,28.58,0,0,107.86,1398,NOTES
輪廻の鴉,H,72.87,67.14,21,0,0,46.02,910,NOTES
流桜ノ門,A,88.87,91.42,45.77,0,130.78,92.32,1075,CHARGE
流桜ノ門,H,66.46,71.42,35.53,0,32.15,50.74,804,PEAK
凛として咲く花の如く,A,109.52,95.72,18.26,0,0,114.07,1398,CHORD
凛として咲く花の如く,H,85.16,84.29,13.12,0,0,68.85,1087,NOTES
凛として咲く花の如く,L,124.94,103.94,19.97,0,0,132.36,1595,CHORD
魔法のかくれんぼ,A,119.05,135.52,10.14,128.64,165.58,106.05,1454,CHARGE
魔法のかくれんぼ,H,69.92,75.7,6.55,97.38,31.56,42.9,854,SOFLAN
摩天楼,A,99.96,131.57,12.79,0,176.06,100.85,1309,CHARGE
摩天楼,H,58.19,70,6.67,0,78.73,21.83,762,CHARGE
曼荼羅恋々,A,110.38,98.57,53.15,0,0,104.43,1392,NOTES
曼荼羅恋々,H,70.89,61.41,43.91,0,0,26.7,894,NOTES
梅雪夜,A,98.5,98.57,37.83,0,0,105.7,1081,CHORD
梅雪夜,H,69.15,70,28.54,0,0,41.55,759,PEAK
魅惑のYUMMYスイーツ,A,129.57,131.57,86.3,0,128.06,116.38,1586,PEAK
魅惑のYUMMYスイーツ,H,74.01,74.28,51.78,0,42.28,63.67,906,PEAK
儚キ戀ノ幻想譚,A,150.28,131.57,104.55,0,9.21,145.31,1808,NOTES
儚キ戀ノ幻想譚,H,97.18,81.42,69.05,0,1.87,70.71,1169,NOTES
儚き恋の華,A,125.32,98.57,87.38,0,0,121.12,1515,NOTES
儚き恋の華,H,78.01,70,56.04,0,0,54.26,943,NOTES
眠りの国のステラ,A,110.93,91.42,45.25,0,99.21,95.46,1393,NOTES
眠りの国のステラ,H,75.34,67.15,31.92,0,55.59,41.91,946,NOTES
冥,A,150.46,180.35,26.86,183.46,0,140.96,2000,SOFLAN
冥,H,83.6,82.86,34.53,158.44,0,25.74,1111,SOFLAN
明鏡止水,A,112.21,107.89,23.79,75.16,0,112.48,1443,CHORD
明鏡止水,H,75.89,65.71,18.69,58.34,0,52.54,976,NOTES
命の標本,A,109.15,115.78,41.58,0,0,108.47,1358,PEAK
命の標本,H,69.45,81.43,40.41,0,0,48.91,864,PEAK
牧神笛吹きて,A,85.29,101.31,25.59,0,0,72,1044,PEAK
牧神笛吹きて,H,58.91,70,19.04,0,0,19.88,721,PEAK
夢縁,A,120.79,100,49.95,0,0,115.12,1515,NOTES
夢縁,H,85.55,74.28,44.72,0,0,55.69,1073,NOTES
無意識のフィロソフィア,A,124.92,97.14,27.59,0,0,111.08,1682,NOTES
無意識のフィロソフィア,H,84.37,64.29,18.94,0,0,46.22,1136,NOTES
霧幻メモリア,A,87.32,82.85,26.04,0,59.9,91.74,1026,CHORD
霧幻メモリア,H,61.78,65.71,18.6,0,33.15,36.38,726,PEAK
無双,A,120.89,101.31,44.11,0,0,130.06,1677,CHORD
無双,H,71.58,55.71,34.66,0,0,60.97,993,NOTES
未完成ノ蒸氣驅動乙女,A,130.35,123.68,19.75,0,0,93.19,1538,NOTES
罠,A,105.26,91.43,71.01,0,0,117.81,1231,CHORD
罠,H,66.43,70,69.15,0,0,42.29,777,PEAK
未来のプリズム,A,77.66,75.71,13.94,0,19.81,66.69,893,NOTES
未来のプリズム,H,60.97,57.14,13.94,0,13.9,29.25,701,NOTES
白露の風,A,84.18,75.72,55.42,0,0,91.35,1018,CHORD
白露の風,H,52.85,52.86,56.04,0,0,19.25,639,SCRATCH
百恋ラブラスター,A,108.16,90,65.47,0,0,108.23,1324,CHORD
百恋ラブラスター,H,66.33,64.28,51.78,0,0,52.22,812,NOTES
伐折羅-vajra-,A,152.42,140.78,60.36,0,0,133.71,1877,NOTES
伐折羅-vajra-,H,88.13,78.57,33.14,0,0,40.38,1085,NOTES
烽火連天の刃,A,140.26,117.1,57.7,0,184.94,119.74,1771,CHARGE
烽火連天の刃,H,94.65,80.01,38.66,0,152.05,74.97,1195,CHARGE
烽火連天の刃,L,179.9,153.57,58.27,0,193.77,185.98,2279,CHARGE
不沈艦CANDY,A,134.56,138.15,25.64,0,0,135.37,1682,PEAK
不沈艦CANDY,H,81.13,75.72,33.22,0,0,57.82,1014,NOTES
卑弥呼,A,158.61,187.5,33.84,151.52,0,147.55,2119,PEAK
卑弥呼,H,108.05,123.68,25.11,131.53,0,56.7,1442,SOFLAN
蛇神,A,113.47,122.36,27.59,0,119.1,100.36,1438,PEAK
蛇神,H,61.01,62.86,17.82,0,39.37,40.6,773,PEAK
蛇神,L,150.24,155.35,34.49,0,200,139.92,1904,CHARGE
獅子霞麗ノ舞,A,72.05,67.14,9,0,84.04,54.05,873,CHARGE
獅子霞麗ノ舞,H,45.39,42.85,4.81,0,40.09,11.45,550,NOTES
山岡晃の「クイズ!家事都合!」,A,99.32,82.85,14.68,0,0,56.19,1035,NOTES
山岡晃の「クイズ!家事都合!」,H,67.17,55.71,19.57,0,0,21.76,700,NOTES
湘南ロンリーMIDNIGHT RAIN,A,111.41,97.15,31.6,0,58.47,128.7,1438,CHORD
湘南ロンリーMIDNIGHT RAIN,H,71.13,62.85,32.73,0,0,64.6,918,NOTES
傷つけど、愛してる。,A,92.08,82.85,19.77,0,0,97.36,1052,CHORD
傷つけど、愛してる。,H,61.44,54.28,20.39,0,0,41.39,702,NOTES
生きるよすが,A,94.38,84.28,39.96,0,9.84,109.13,1256,CHORD
生きるよすが,H,57.55,44.29,21.35,0,0,33.73,766,NOTES
夕焼け ~Fading Day~,A,120.15,102.63,46.23,0,0,100.96,1420,NOTES
夕焼け ~Fading Day~,H,90.28,82.86,39.46,0,0,43.19,1067,NOTES
旋律のドグマ~Misérables~,A,141.45,122.36,35,0,1.87,130.13,2002,NOTES
旋律のドグマ~Misérables~,H,89.8,75.71,26.76,0,1.87,75.99,1271,NOTES
雪上断火,A,117.73,115.78,175.89,63.57,0,130.67,1544,SCRATCH
雪上断火,H,71.68,71.42,120.75,54.55,0,64.44,940,SCRATCH
雪月花,A,110.25,118.42,63.66,0,0,99.92,1287,PEAK
雪月花,H,83.87,90.01,54.3,0,0,49.5,979,PEAK
閃と雷管とロープ,A,107.01,88.57,24.7,0,47.14,81.53,1294,NOTES
閃と雷管とロープ,H,58.96,52.85,14.46,0,12.51,37.01,713,NOTES
星屑ディスタンシア,A,87.67,84.28,41.66,0,0,83.05,1073,NOTES
星屑ディスタンシア,H,50.57,45.71,16.66,0,0,34.9,619,NOTES
聖人の塔,A,126.71,126.31,14.72,153.56,0,105.2,1567,SOFLAN
聖人の塔,H,87.01,78.57,14.72,141.15,0,30.54,1076,SOFLAN
聖人の塔,L,184.5,171.42,14.72,173.51,165.68,167.28,2290,NOTES
星をこの手に,A,95.05,80,60.48,0,0,79.91,1099,NOTES
星をこの手に,H,80.68,67.15,59.23,0,0,52.03,933,NOTES
世界の果てに約束の凱歌を -ReUnion-,A,155.66,151.78,52.65,0,53.98,164.39,1983,CHORD
世界の果てに約束の凱歌を -ReUnion-,H,76.43,78.57,21.74,0,20,58.4,973,PEAK
消極的セツナイズム,H,67.92,64.28,13.49,0,0,49.54,807,NOTES
少年A,A,100.56,109.21,60.67,54.18,0,85.68,1449,PEAK
少年A,H,79.39,79.99,18.2,45.3,0,34.35,1144,PEAK
少年は空を辿る,A,134.3,135.52,44.7,0,101.85,127.59,1729,PEAK
少年は空を辿る,H,83.96,84.28,34.52,0,11.56,51.81,1081,PEAK
少年リップルズ,A,104.71,95.71,31.94,0,74.34,105.04,1242,CHORD
少年リップルズ,H,76.14,81.43,24.57,0,0,60.92,903,PEAK
少女アリスと箱庭幻想コンチェルト,A,90.14,90.01,7.79,0,157.34,38.65,1095,CHARGE
少女アリスと箱庭幻想コンチェルト,H,62.65,64.28,7.2,0,44.59,13.29,761,PEAK
衰色小町メランコリア,A,103.33,87.15,43.57,0,0,108.26,1192,CHORD
衰色小町メランコリア,H,61.63,50,11.36,0,0,47.25,711,NOTES
水鏡の異界,A,137.33,119.73,121.78,0,165.61,107.8,1661,CHARGE
水鏡の異界,H,73.51,64.29,72.29,0,63.12,42.87,889,NOTES
水無月の雫 ft. 小林まな,A,105.37,92.86,35.67,0,0,102.47,1313,NOTES
水無月の雫 ft. 小林まな,H,72.88,60,25.73,0,0,44.94,908,NOTES
"水上の提督(Short mix from ""幻想水滸伝V"")",A,86.43,105.27,15.84,0,0,68.17,1073,PEAK
"水上の提督(Short mix from ""幻想水滸伝V"")",H,69.91,62.85,15.84,0,0,42.31,868,NOTES
純真可憐デザイア,A,91.71,84.28,49.6,0,0,90.32,1172,NOTES
純真可憐デザイア,H,64.49,58.58,45.04,0,0,35.16,824,NOTES
純真可憐デザイア,L,117.23,113.15,55.3,0,16.56,122.92,1498,CHORD
時空トラベローグ,A,106.65,103.94,30.63,0,0,69.33,1395,NOTES
時空トラベローグ,H,75.16,70,25.06,0,0,27.86,983,NOTES
神謳 -RESONANCE-,A,154.28,134.21,34.06,0,0,151.61,2047,NOTES
神謳 -RESONANCE-,H,96.9,82.86,10.98,0,0,70.6,1285,NOTES
新時代,A,97.34,85.72,24.22,0,22.81,105.71,1171,CHORD
新時代,H,52.61,42.85,20.59,0,17.34,18.09,633,NOTES
新宝島,A,99.92,80,19.02,0,124.83,73.82,1186,CHARGE
新宝島,H,58.97,50,9.2,0,35.3,36.47,700,NOTES
新宝島,L,150.79,127.63,28.85,0,186.38,140.71,1790,CHARGE
神様、つれない。,H,60.62,52.85,14.09,0,0,41.7,721,NOTES
神っぽいな,A,97.7,80,86.5,0,0,79.39,1078,NOTES
神っぽいな,H,66.52,58.58,48.86,0,0,29.07,734,NOTES
神っぽいな,L,142.65,131.57,100.98,0,0,132.15,1574,NOTES
神のシナリオ,A,129.42,126.31,51.36,0,187.01,119.95,1652,CHARGE
神のシナリオ,H,69.09,67.14,22.83,0,103.58,30.8,882,CHARGE
深愛のリグレット,A,92.74,80,42.58,0,27.89,91.96,1206,NOTES
深愛のリグレット,H,46.52,40,23.53,0,5.93,16.96,605,NOTES
深淵に捧ぐレクイエム,A,127.76,127.63,15.74,0,188.09,115.81,1537,CHARGE
深淵に捧ぐレクイエム,H,70.07,74.29,3.02,0,158.33,31.37,843,CHARGE
十六夜セツナ,A,90.3,98.58,46.49,0,92.09,97,1132,PEAK
十六夜セツナ,H,65.65,57.14,24.99,0,0,42.84,823,NOTES
鴉,A,113.16,110.52,52.89,0,0,120.4,1356,CHORD
鴉,H,94.81,91.43,44.99,0,0,100.82,1136,CHORD
我ら完全無敵のアイドル!!,A,93.64,87.14,57.96,0,0,112.58,1283,CHORD
我ら完全無敵のアイドル!!,H,60.58,54.28,42.01,0,0,48,830,NOTES
愛包ダンスホール,H,48.57,45.71,21.23,0,0,16.19,700,NOTES
愛しくてラヴィンユー ft. マナ,A,93.84,81.43,31.67,0,0,79.35,1209,NOTES
愛しくてラヴィンユー ft. マナ,H,58.75,54.28,19.79,0,0,33.58,757,NOTES
陽炎,A,95.09,77.14,25.37,0,0,88.17,1010,NOTES
陽炎,H,57.05,48.57,17.83,0,0,34.74,606,NOTES
俺ら東京さ行ぐだ,A,85.36,88.58,107.34,39.59,0,82.35,1011,SCRATCH
俺ら東京さ行ぐだ,H,56.91,58.57,78.12,35.52,0,27.29,674,SCRATCH
俺ら東京さ行ぐだ,L,158.06,125,125.27,73.55,107.4,149.23,1874,NOTES
逆月,A,156.73,143.42,52.97,0,118.95,168.07,1920,CHORD
逆月,H,97.55,98.58,18.45,0,61.09,104.52,1194,CHORD
踊,A,75.03,62.85,51.46,0,0,61.28,818,NOTES
踊,H,38.07,34.28,38.1,0,0,13.6,415,SCRATCH
踊,L,97.51,91.43,66.17,0,0,101.13,1063,CHORD
勇者,A,113.61,94.28,19.94,0,0,103.81,1245,NOTES
勇者,H,66.07,58.57,18.6,0,0,41.82,724,NOTES
妖隠し -あやかしかくし-,A,85.1,82.85,23.04,0,0,60.21,1103,NOTES
妖隠し -あやかしかくし-,H,61.96,60,12.36,0,0,29.03,803,NOTES
雨のちパノラマセカイ,A,89.84,81.42,57.68,0,0,106.85,1112,CHORD
雨のちパノラマセカイ,H,58.26,62.86,47.09,0,0,55.46,721,PEAK
月光,A,105.19,95.71,53.51,0,0,108.9,1246,CHORD
月光,H,75.97,65.71,32.59,0,0,48.33,900,NOTES
月雪に舞う華のように,A,76.47,77.14,26.23,6.25,32.48,84.75,1083,CHORD
月雪に舞う華のように,H,48.21,48.57,10.28,6.07,28.42,35.39,683,PEAK
月下繚乱,A,117.21,102.63,30.02,0,59.93,102.25,1422,NOTES
月下繚乱,H,73.68,61.42,21.61,0,21.56,40.67,894,NOTES
月と夢の跡 ft. マナ,A,99.93,91.42,36.14,0,0,105.27,1269,CHORD
月と夢の跡 ft. マナ,H,61.42,61.42,25.81,0,0,34.41,780,NOTES
月とミルク,A,113.18,107.89,13.54,0,0,106.44,1400,NOTES
月とミルク,H,64.67,60.01,9.42,0,0,37.48,800,NOTES
音楽,A,101.91,139.47,5.99,175.48,0,119.87,1487,SOFLAN
音楽,H,71.51,87.14,6.02,161.36,0,84.11,1038,SOFLAN
異心前進♪ぴょんぴょんぴょん,A,102.95,81.42,27.97,0,17.34,88.71,1260,NOTES
異心前進♪ぴょんぴょんぴょん,H,69.19,62.85,27.98,0,9.22,30.19,847,NOTES
